date,burnt out,mental breakdown,can't focus,cannot focus,overwhelmed,lose my mind,losing my mindpanic attacks,feel like a failure,am a failure,cried,losing motivation,hate my major,why am i even doing this?,college has been horrible,depressed,hate myself,i'm cooked,am cooked,need to lock in,can't lock in,cannot lock in,overthinking,stressed,worried,disappointed in myself,feeling overwhelmed,withdraw,am panicking,aimlessness,wasted all my potential,wasted my time,so exhausted,feel exhausted,am exhausted,failing classes,barely passing,not going to graduate,wont graduate,won't graduatekilling me,falling behindbehind in school,behind in my classes,behind in all my classes,struggling to keep up,too many assignments,dropped out,can't pass,retaking a class,low grades,how am i going to survive,college lies,flunking,struggling with math,hate math,hard class,don't understand,screw over,screwed over,i'm screwed,nothing is clicking,don't get it,difficult exam,placed in wrong class,debt,struggle to learn,failed a class,behind on all my work,behind on my work,behind on work,in debt,no advisor helped me,bad advising,school won’t let me,can’t afford,financial hold,withdrew from,academic probation,took a gap semester,course recovery,transfer schools,going back to school,i feel dumb,i'm not smart enough,wish i could redo it,hopeless,no hope,sm anxiety,worrying about,have anxiety
2025-08-05,13,3,2,0,32,0,0,6,0,11,1,0,0,0,23,1,1,2,0,0,0,19,52,106,0,1,14,0,0,0,3,1,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,2,12,0,2,0,0,2,1,0,46,0,1,0,0,0,10,0,0,0,4,0,2,1,1,0,0,5,0,0,0,12,0,0,7,0
2025-08-06,11,3,1,0,31,0,0,6,0,10,0,0,0,0,28,1,3,2,0,0,0,18,46,101,0,1,14,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,1,3,9,0,2,0,0,2,1,0,45,0,0,0,0,0,9,0,0,0,8,0,3,0,1,0,0,6,1,0,0,11,0,0,8,0
2025-08-07,14,4,0,0,28,0,0,5,0,9,0,0,0,0,33,0,3,2,0,0,0,15,44,103,0,2,14,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,2,4,11,0,2,0,0,2,1,0,45,0,0,0,0,0,11,0,0,0,11,0,3,0,1,0,0,8,1,0,0,10,0,0,8,0
2025-08-08,11,3,0,0,26,0,0,5,0,9,0,0,0,0,30,1,4,2,0,0,0,14,47,97,1,1,12,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,2,5,12,0,2,0,0,1,1,0,46,0,1,0,0,0,8,0,0,0,12,0,3,0,1,0,0,8,1,0,0,8,0,0,10,0
2025-08-09,11,4,0,0,22,0,0,4,0,8,0,0,0,0,33,2,5,1,0,0,0,11,46,107,1,2,11,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,2,5,13,0,2,0,0,0,1,0,49,0,1,0,0,0,10,0,0,0,14,0,3,0,1,0,1,9,1,0,0,8,0,0,10,0
2025-08-10,10,2,0,0,23,0,0,4,0,9,0,0,0,0,33,3,5,2,0,0,0,13,47,111,1,2,10,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,2,5,13,0,2,0,0,0,1,0,46,0,1,0,0,0,9,0,0,0,15,0,1,1,1,0,1,10,1,0,0,7,0,0,11,1
2025-08-11,13,2,3,0,23,0,0,2,0,9,0,0,0,0,31,4,5,2,0,0,0,13,45,116,2,2,9,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,10,1,0,0,0,0,1,0,1,4,14,0,1,0,0,0,0,0,43,0,1,0,0,0,8,0,0,0,15,0,1,1,1,0,1,13,2,0,0,7,0,0,12,1
2025-08-12,11,2,3,0,22,0,0,1,0,7,0,0,0,0,32,6,4,3,0,0,0,15,41,117,3,3,10,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0,2,0,2,5,13,0,0,0,0,0,0,0,42,0,1,0,0,0,10,0,0,0,14,0,1,1,0,0,1,11,2,0,0,8,0,0,11,1
2025-08-13,13,2,4,0,20,0,0,4,0,7,0,0,0,0,31,6,2,4,0,0,0,16,42,114,3,3,8,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,3,0,2,4,14,0,0,0,0,0,0,0,39,0,1,0,0,0,9,0,0,0,11,0,0,2,0,0,1,10,1,0,0,7,0,0,11,2
2025-08-14,12,1,4,0,19,0,0,4,0,8,0,0,0,0,25,6,2,4,0,0,0,17,39,115,3,2,9,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,4,0,1,4,14,0,0,0,0,0,0,0,37,0,1,0,0,0,9,0,0,0,9,0,0,2,0,0,1,8,1,0,0,9,0,0,10,2
